Brend:,Qurğunun növü:,Seriya:,Form-faktor:,SİM kartının növü:,"Ekranın diaqonalı, düym:",Operativ yaddaşın həcmi:,"Ekranın qətnaməsi, Mp:",Yaddaşın əsas həcmi:,Ekran texnologiyası:,Prosessor:,Prosessorun nüvələr sayı:,Daxili yaddaş həcmi:,Yaddaş kartlarının dəstəklənməsi:,Yaddaş kartları üçün yuvalar:,"Əsas kamera, Mp:","Əsas kamera dəsti, Mp:","Ön kamera, Mp:",Wi-Fi standartı:,Bluetooth standartı:,Qoşulma portu:,Simsiz enerji toplama:,Korpusun qorunması:,"Akkumulyatorun həcmi, mA/saat:",Rabitə standartları:,Digər funksiyalar və xüsusiyyətlər:,Bazarın başlanğıc ili:,İstehsalçı ölkə:,Brendin ölkəsi:,Komplektasiya:,Rəng:,Korpusun materialı:,"Hündürlüyü, mm:","Çəki, q:","Qalınlığı, mm:","Eni, mm:",Price
Nokia,Mobil telefon,Nokia 106,Monoblok,Mini-SIM,1.8,,160 x 120,4 Mb,TFT,,,1 Gb qədər,Xeyr,,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2018.0,Vyetnam,,,Boz,Plastik,111.2,70.2,14.4,49.5,50.32
Hope,Mobil telefon,Hope V,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,,MicroUSB,Xeyr,,,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterÇexol,Qara,Metal,129.0,130.0,18.0,44,96.39
Nokia,Mobil telefon,Nokia 105,Monoblok,SIM,1,,160 x 128,,TFT,,,1 Gb qədər,Xeyr,Yoxdur,,,,Xeyr,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,,,,Qara,Plastik,119.0,73.0,14.0,49,53.0
Nokia,Mobil telefon,Nokia 105,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 120,,TFT,,,,Bəli,microSD,,,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Finlandiya,,,Qara,Plastik,112.0,73.0,14.4,49.5,39.27
INOI,Mobil telefon,INOI 288S,Slayder,Mini-SIM,2,,160 x 128,,IPS,,,,Bəli,microSD,5 Mp qədər,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,Smartfon,Qara,Metal,115.0,168.0,16.0,49,89.1
INOI,Mobil telefon,,Slayder,Mini-SIM,2,,,,IPS,,,,Bəli,microSDmicroSDHC,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Rusiya,SmartfonAdapter,Boz,Metal,115.0,168.0,16.0,49,89.1
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,3.0,MicroUSB,Xeyr,Toza davamlı,6000 və yuxarı,2G,FənərPower BankToza qarşı müdafiə,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaÇexol,Qara,Plastik,128.0,90.0,30.0,59,78.52
F+,Mobil telefon,F+ F197,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,114.0,70.0,13.0,48,27.0
Nokia,Mobil telefon,Nokia 3310,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,2,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Boz,Plastik,115.6,78.0,12.8,51,124.3
SQ,Mobil telefon,SQ 8700,Monoblok,,2.4,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,,Fənər,,Çin,Çin,Smartfon,Qara,,,,,,85.0
